request_id,request_time,origin_zone,destination_zone
r0000001,138,cz1,cz1
r0000002,415,cz1,cz2
r0000003,692,cz1,cz3
r0000004,969,cz1,cz4
r0000005,1246,cz2,cz1
r0000006,1523,cz2,cz2
r0000007,1800,cz2,cz3
r0000008,2076,cz3,cz1
r0000009,2353,cz3,cz2
r0000010,2630,cz3,cz3
r0000011,2907,cz3,cz4
r0000012,3184,cz4,cz1
r0000013,3461,cz4,cz3
r0000014,3825,cz1,cz1
r0000015,4275,cz1,cz2
r0000016,4725,cz1,cz3
r0000017,5175,cz2,cz1
r0000018,5625,cz2,cz2
r0000019,6075,cz3,cz1
r0000020,6525,cz3,cz3
r0000021,6975,cz4,cz3
r0000022,7560,cz1,cz1
r0000023,8280,cz1,cz3
r0000024,9000,cz2,cz1
r0000025,9720,cz3,cz1
r0000026,10440,cz3,cz3
r0000027,11400,cz1,cz3
r0000028,12600,cz3,cz1
r0000029,13800,cz3,cz3
r0000030,15000,cz1,cz3
r0000031,16200,cz3,cz1
r0000032,17400,cz3,cz3
r0000033,18257,cz1,cz1
r0000034,18771,cz1,cz2
r0000035,19285,cz1,cz3
r0000036,19800,cz2,cz1
r0000037,20314,cz3,cz1
r0000038,20828,cz3,cz3
r0000039,21342,cz4,cz3
r0000040,21669,cz1,cz1
r0000041,21807,cz1,cz1
r0000042,21946,cz1,cz2
r0000043,22084,cz1,cz2
r0000044,22223,cz1,cz3
r0000045,22361,cz1,cz3
r0000046,22500,cz1,cz4
r0000047,22638,cz2,cz1
r0000048,22776,cz2,cz1
r0000049,22915,cz2,cz2
r0000050,23053,cz2,cz2
r0000051,23192,cz2,cz3
r0000052,23330,cz2,cz3
r0000053,23469,cz2,cz4
r0000054,23607,cz3,cz1
r0000055,23746,cz3,cz1
r0000056,23884,cz3,cz2
r0000057,24023,cz3,cz3
r0000058,24161,cz3,cz3
r0000059,24300,cz3,cz4
r0000060,24438,cz3,cz4
r0000061,24576,cz4,cz1
r0000062,24715,cz4,cz2
r0000063,24853,cz4,cz3
r0000064,24992,cz4,cz3
r0000065,25130,cz4,cz4
r0000066,25224,cz1,cz1
r0000067,25273,cz1,cz1
r0000068,25323,cz1,cz1
r0000069,25372,cz1,cz1
r0000070,25421,cz1,cz1
r0000071,25471,cz1,cz1
r0000072,25520,cz1,cz2
r0000073,25569,cz1,cz2
r0000074,25619,cz1,cz2
r0000075,25668,cz1,cz2
r0000076,25717,cz1,cz2
r0000077,25767,cz1,cz3
r0000078,25816,cz1,cz3
r0000079,25865,cz1,cz3
r0000080,25915,cz1,cz3
r0000081,25964,cz1,cz3
r0000082,26013,cz1,cz3
r0000083,26063,cz1,cz4
r0000084,26112,cz1,cz4
r0000085,26161,cz1,cz4
r0000086,26210,cz1,cz4
r0000087,26260,cz2,cz1
r0000088,26309,cz2,cz1
r0000089,26358,cz2,cz1
r0000090,26408,cz2,cz1
r0000091,26457,cz2,cz1
r0000092,26506,cz2,cz2
r0000093,26556,cz2,cz2
r0000094,26605,cz2,cz2
r0000095,26654,cz2,cz2
r0000096,26704,cz2,cz2
r0000097,26753,cz2,cz3
r0000098,26802,cz2,cz3
r0000099,26852,cz2,cz3
r0000100,26901,cz2,cz3
r0000101,26950,cz2,cz4
r0000102,27000,cz2,cz4
r0000103,27049,cz2,cz4
r0000104,27098,cz3,cz1
r0000105,27147,cz3,cz1
r0000106,27197,cz3,cz1
r0000107,27246,cz3,cz1
r0000108,27295,cz3,cz1
r0000109,27345,cz3,cz1
r0000110,27394,cz3,cz2
r0000111,27443,cz3,cz2
r0000112,27493,cz3,cz2
r0000113,27542,cz3,cz2
r0000114,27591,cz3,cz3
r0000115,27641,cz3,cz3
r0000116,27690,cz3,cz3
r0000117,27739,cz3,cz3
r0000118,27789,cz3,cz3
r0000119,27838,cz3,cz3
r0000120,27887,cz3,cz4
r0000121,27936,cz3,cz4
r0000122,27986,cz3,cz4
r0000123,28035,cz3,cz4
r0000124,28084,cz4,cz1
r0000125,28134,cz4,cz1
r0000126,28183,cz4,cz1
r0000127,28232,cz4,cz1
r0000128,28282,cz4,cz2
r0000129,28331,cz4,cz2
r0000130,28380,cz4,cz2
r0000131,28430,cz4,cz3
r0000132,28479,cz4,cz3
r0000133,28528,cz4,cz3
r0000134,28578,cz4,cz3
r0000135,28627,cz4,cz3
r0000136,28676,cz4,cz4
r0000137,28726,cz4,cz4
r0000138,28775,cz4,cz4
r0000139,28815,cz1,cz1
r0000140,28845,cz1,cz1
r0000141,28876,cz1,cz1
r0000142,28906,cz1,cz1
r0000143,28937,cz1,cz1
r0000144,28967,cz1,cz1
r0000145,28998,cz1,cz1
r0000146,29028,cz1,cz1
r0000147,29059,cz1,cz1
r0000148,29089,cz1,cz1
