request_id,request_time,origin_zone,destination_zone
r0000001,21,cz1,cz1
r0000002,64,cz1,cz1
r0000003,107,cz1,cz1
r0000004,150,cz1,cz1
r0000005,192,cz1,cz1
r0000006,235,cz1,cz1
r0000007,278,cz1,cz1
r0000008,321,cz1,cz2
r0000009,364,cz1,cz2
r0000010,407,cz1,cz2
r0000011,450,cz1,cz2
r0000012,492,cz1,cz2
r0000013,535,cz1,cz3
r0000014,578,cz1,cz3
r0000015,621,cz1,cz3
r0000016,664,cz1,cz3
r0000017,707,cz1,cz3
r0000018,750,cz1,cz3
r0000019,792,cz1,cz3
r0000020,835,cz1,cz4
r0000021,878,cz1,cz4
r0000022,921,cz1,cz4
r0000023,964,cz1,cz4
r0000024,1007,cz1,cz4
r0000025,1050,cz2,cz1
r0000026,1092,cz2,cz1
r0000027,1135,cz2,cz1
r0000028,1178,cz2,cz1
r0000029,1221,cz2,cz1
r0000030,1264,cz2,cz2
r0000031,1307,cz2,cz2
r0000032,1350,cz2,cz2
r0000033,1392,cz2,cz2
r0000034,1435,cz2,cz2
r0000035,1478,cz2,cz3
r0000036,1521,cz2,cz3
r0000037,1564,cz2,cz3
r0000038,1607,cz2,cz3
r0000039,1650,cz2,cz3
r0000040,1692,cz2,cz4
r0000041,1735,cz2,cz4
r0000042,1778,cz2,cz4
r0000043,1821,cz2,cz4
r0000044,1864,cz3,cz1
r0000045,1907,cz3,cz1
r0000046,1949,cz3,cz1
r0000047,1992,cz3,cz1
r0000048,2035,cz3,cz1
r0000049,2078,cz3,cz1
r0000050,2121,cz3,cz1
r0000051,2164,cz3,cz2
r0000052,2207,cz3,cz2
r0000053,2250,cz3,cz2
r0000054,2292,cz3,cz2
r0000055,2335,cz3,cz2
r0000056,2378,cz3,cz3
r0000057,2421,cz3,cz3
r0000058,2464,cz3,cz3
r0000059,2507,cz3,cz3
r0000060,2550,cz3,cz3
r0000061,2592,cz3,cz3
r0000062,2635,cz3,cz3
r0000063,2678,cz3,cz4
r0000064,2721,cz3,cz4
r0000065,2764,cz3,cz4
r0000066,2807,cz3,cz4
