request_id,request_time,origin_zone,destination_zone
r0000001,105,cz1,cz1
r0000002,317,cz1,cz2
r0000003,529,cz1,cz3
r0000004,741,cz1,cz4
r0000005,952,cz2,cz1
r0000006,1164,cz2,cz2
r0000007,1376,cz2,cz3
r0000008,1588,cz2,cz4
r0000009,1800,cz3,cz1
r0000010,2011,cz3,cz2
r0000011,2223,cz3,cz3
r0000012,2435,cz3,cz3
r0000013,2647,cz3,cz4
r0000014,2858,cz4,cz1
r0000015,3070,cz4,cz2
r0000016,3282,cz4,cz3
r0000017,3494,cz4,cz4
r0000018,3780,cz1,cz1
r0000019,4140,cz1,cz2
r0000020,4500,cz1,cz3
r0000021,4860,cz2,cz1
r0000022,5220,cz2,cz2
r0000023,5580,cz2,cz3
r0000024,5940,cz3,cz1
r0000025,6300,cz3,cz3
r0000026,6660,cz3,cz4
r0000027,7020,cz4,cz3
r0000028,7457,cz1,cz1
r0000029,7971,cz1,cz2
r0000030,8485,cz1,cz3
r0000031,9000,cz2,cz1
r0000032,9514,cz3,cz1
r0000033,10028,cz3,cz3
r0000034,10542,cz4,cz3
r0000035,11250,cz1,cz1
r0000036,12150,cz1,cz3
r0000037,13050,cz3,cz1
r0000038,13950,cz3,cz3
r0000039,14850,cz1,cz1
r0000040,15750,cz1,cz3
r0000041,16650,cz3,cz1
r0000042,17550,cz3,cz3
r0000043,18200,cz1,cz1
r0000044,18600,cz1,cz2
r0000045,19000,cz1,cz3
r0000046,19400,cz2,cz1
r0000047,19800,cz2,cz2
r0000048,20200,cz2,cz3
r0000049,20600,cz3,cz1
r0000050,21000,cz3,cz3
r0000051,21400,cz4,cz3
r0000052,21652,cz1,cz1
r0000053,21758,cz1,cz1
r0000054,21864,cz1,cz1
r0000055,21970,cz1,cz2
r0000056,22076,cz1,cz2
r0000057,22182,cz1,cz3
r0000058,22288,cz1,cz3
r0000059,22394,cz1,cz3
r0000060,22500,cz1,cz4
r0000061,22605,cz1,cz4
r0000062,22711,cz2,cz1
r0000063,22817,cz2,cz1
r0000064,22923,cz2,cz2
r0000065,23029,cz2,cz2
r0000066,23135,cz2,cz3
r0000067,23241,cz2,cz3
r0000068,23347,cz2,cz4
r0000069,23452,cz2,cz4
r0000070,23558,cz3,cz1
r0000071,23664,cz3,cz1
r0000072,23770,cz3,cz1
r0000073,23876,cz3,cz2
r0000074,23982,cz3,cz2
r0000075,24088,cz3,cz3
r0000076,24194,cz3,cz3
r0000077,24300,cz3,cz3
r0000078,24405,cz3,cz4
r0000079,24511,cz3,cz4
r0000080,24617,cz4,cz1
r0000081,24723,cz4,cz1
r0000082,24829,cz4,cz2
r0000083,24935,cz4,cz3
r0000084,25041,cz4,cz3
r0000085,25147,cz4,cz4
r0000086,25218,cz1,cz1
r0000087,25255,cz1,cz1
r0000088,25292,cz1,cz1
r0000089,25329,cz1,cz1
r0000090,25367,cz1,cz1
r0000091,25404,cz1,cz1
r0000092,25441,cz1,cz1
r0000093,25478,cz1,cz1
r0000094,25515,cz1,cz2
r0000095,25552,cz1,cz2
r0000096,25589,cz1,cz2
r0000097,25626,cz1,cz2
r0000098,25663,cz1,cz2
r0000099,25701,cz1,cz2
r0000100,25738,cz1,cz3
r0000101,25775,cz1,cz3
r0000102,25812,cz1,cz3
r0000103,25849,cz1,cz3
r0000104,25886,cz1,cz3
r0000105,25923,cz1,cz3
