request_id,request_time,origin_zone,destination_zone
r0000001,900,cz1,cz3
r0000002,2700,cz3,cz3
r0000003,5400,cz3,cz3
r0000004,9000,cz3,cz3
r0000005,16200,cz3,cz3
r0000006,19800,cz3,cz3
r0000007,22050,cz1,cz1
r0000008,22950,cz1,cz3
r0000009,23850,cz3,cz1
r0000010,24750,cz3,cz3
r0000011,25350,cz1,cz1
r0000012,25650,cz1,cz2
r0000013,25950,cz1,cz3
r0000014,26250,cz2,cz1
r0000015,26550,cz2,cz2
r0000016,26850,cz2,cz3
r0000017,27149,cz3,cz1
r0000018,27450,cz3,cz2
r0000019,27750,cz3,cz3
r0000020,28050,cz3,cz4
r0000021,28350,cz4,cz1
r0000022,28650,cz4,cz3
r0000023,28890,cz1,cz1
r0000024,29070,cz1,cz1
r0000025,29250,cz1,cz2
r0000026,29430,cz1,cz3
r0000027,29610,cz1,cz3
r0000028,29790,cz1,cz4
r0000029,29970,cz2,cz1
r0000030,30150,cz2,cz2
r0000031,30330,cz2,cz3
r0000032,30510,cz2,cz4
r0000033,30690,cz3,cz1
r0000034,30870,cz3,cz1
r0000035,31050,cz3,cz2
r0000036,31230,cz3,cz3
r0000037,31410,cz3,cz3
r0000038,31590,cz3,cz4
r0000039,31770,cz4,cz1
r0000040,31950,cz4,cz2
r0000041,32130,cz4,cz3
r0000042,32310,cz4,cz4
r0000043,32494,cz1,cz1
r0000044,32684,cz1,cz2
r0000045,32873,cz1,cz3
r0000046,33063,cz1,cz3
r0000047,33252,cz1,cz4
r0000048,33442,cz2,cz1
r0000049,33631,cz2,cz2
r0000050,33821,cz2,cz3
r0000051,34010,cz2,cz4
r0000052,34200,cz3,cz1
r0000053,34389,cz3,cz1
r0000054,34578,cz3,cz2
r0000055,34768,cz3,cz3
r0000056,34957,cz3,cz3
r0000057,35147,cz3,cz4
r0000058,35336,cz4,cz1
r0000059,35526,cz4,cz2
r0000060,35715,cz4,cz3
r0000061,35905,cz4,cz4
r0000062,36112,cz1,cz1
r0000063,36337,cz1,cz2
r0000064,36562,cz1,cz3
r0000065,36787,cz1,cz4
r0000066,37012,cz2,cz1
r0000067,37237,cz2,cz2
r0000068,37462,cz2,cz3
r0000069,37687,cz2,cz4
r0000070,37912,cz3,cz1
r0000071,38137,cz3,cz2
r0000072,38362,cz3,cz3
r0000073,38587,cz3,cz4
r0000074,38812,cz4,cz1
r0000075,39037,cz4,cz2
r0000076,39262,cz4,cz3
r0000077,39487,cz4,cz4
r0000078,39705,cz1,cz1
r0000079,39917,cz1,cz2
r0000080,40129,cz1,cz3
r0000081,40341,cz1,cz4
r0000082,40552,cz2,cz1
r0000083,40764,cz2,cz2
r0000084,40976,cz2,cz3
r0000085,41188,cz2,cz4
r0000086,41400,cz3,cz1
r0000087,41611,cz3,cz2
r0000088,41823,cz3,cz3
r0000089,42035,cz3,cz3
r0000090,42247,cz3,cz4
r0000091,42458,cz4,cz1
r0000092,42670,cz4,cz2
r0000093,42882,cz4,cz3
