request_id,request_time,origin_zone,destination_zone
r0000001,42,cz1,cz1
r0000002,128,cz1,cz1
r0000003,214,cz1,cz1
r0000004,300,cz1,cz2
r0000005,385,cz1,cz2
r0000006,471,cz1,cz2
r0000007,557,cz1,cz3
r0000008,642,cz1,cz3
r0000009,728,cz1,cz3
r0000010,814,cz1,cz4
r0000011,900,cz1,cz4
r0000012,985,cz2,cz1
r0000013,1071,cz2,cz1
r0000014,1157,cz2,cz1
r0000015,1242,cz2,cz2
r0000016,1328,cz2,cz2
r0000017,1414,cz2,cz2
r0000018,1500,cz2,cz3
r0000019,1585,cz2,cz3
r0000020,1671,cz2,cz3
r0000021,1757,cz2,cz4
r0000022,1842,cz2,cz4
r0000023,1928,cz3,cz1
r0000024,2014,cz3,cz1
r0000025,2100,cz3,cz1
r0000026,2185,cz3,cz2
r0000027,2271,cz3,cz2
r0000028,2357,cz3,cz3
r0000029,2442,cz3,cz3
r0000030,2528,cz3,cz3
r0000031,2614,cz3,cz3
r0000032,2700,cz3,cz4
r0000033,2785,cz3,cz4
r0000034,2871,cz4,cz1
r0000035,2957,cz4,cz1
r0000036,3042,cz4,cz2
r0000037,3128,cz4,cz2
r0000038,3214,cz4,cz3
r0000039,3300,cz4,cz3
r0000040,3385,cz4,cz3
r0000041,3471,cz4,cz4
r0000042,3557,cz4,cz4
r0000043,3669,cz1,cz1
r0000044,3807,cz1,cz1
r0000045,3946,cz1,cz2
r0000046,4084,cz1,cz2
r0000047,4223,cz1,cz3
r0000048,4361,cz1,cz3
r0000049,4500,cz1,cz4
r0000050,4638,cz2,cz1
r0000051,4776,cz2,cz1
r0000052,4915,cz2,cz2
r0000053,5053,cz2,cz2
r0000054,5192,cz2,cz3
r0000055,5330,cz2,cz3
r0000056,5469,cz2,cz4
r0000057,5607,cz3,cz1
r0000058,5746,cz3,cz1
r0000059,5884,cz3,cz2
r0000060,6023,cz3,cz3
r0000061,6161,cz3,cz3
r0000062,6300,cz3,cz4
r0000063,6438,cz3,cz4
r0000064,6576,cz4,cz1
r0000065,6715,cz4,cz2
r0000066,6853,cz4,cz3
r0000067,6992,cz4,cz3
r0000068,7130,cz4,cz4
r0000069,7305,cz1,cz1
r0000070,7517,cz1,cz2
r0000071,7729,cz1,cz3
r0000072,7941,cz1,cz4
r0000073,8152,cz2,cz1
r0000074,8364,cz2,cz2
r0000075,8576,cz2,cz3
r0000076,8788,cz2,cz4
r0000077,9000,cz3,cz1
r0000078,9211,cz3,cz2
r0000079,9423,cz3,cz3
r0000080,9635,cz3,cz3
r0000081,9847,cz3,cz4
r0000082,10058,cz4,cz1
r0000083,10270,cz4,cz2
r0000084,10482,cz4,cz3
r0000085,10694,cz4,cz4
r0000086,10980,cz1,cz1
r0000087,11340,cz1,cz2
r0000088,11700,cz1,cz3
r0000089,12060,cz2,cz1
r0000090,12420,cz2,cz2
r0000091,12780,cz2,cz3
r0000092,13140,cz3,cz1
r0000093,13500,cz3,cz3
r0000094,13860,cz3,cz4
r0000095,14220,cz4,cz3
r0000096,14580,cz1,cz1
r0000097,14940,cz1,cz2
r0000098,15300,cz1,cz3
r0000099,15660,cz2,cz1
r0000100,16020,cz2,cz2
r0000101,16380,cz2,cz3
r0000102,16740,cz3,cz1
r0000103,17100,cz3,cz3
r0000104,17460,cz3,cz4
r0000105,17820,cz4,cz3
r0000106,18075,cz1,cz1
r0000107,18225,cz1,cz1
r0000108,18375,cz1,cz2
r0000109,18525,cz1,cz2
r0000110,18675,cz1,cz3
r0000111,18825,cz1,cz3
r0000112,18974,cz1,cz4
r0000113,19125,cz2,cz1
r0000114,19275,cz2,cz1
r0000115,19425,cz2,cz2
r0000116,19575,cz2,cz2
